PRODUCT_CODE,ITEM,PRICE,PRICE CHANGE
MTCRGLM1,Men's Fresh Foam Crag Trail,35.69,5.103999999999999
MTCRGLG1,Men's Fresh Foam Crag Trail,35.69,5.103999999999999
MRUBXGY,Men's Rubix,69.29,9.903999999999996
CM997HAJ,Men's 997,32.39,10.803999999999995
CM997HAG,Men's 997,32.39,10.803999999999995
MTKYMRR1,Men's Kaymin Trail,28.79,7.204000000000001
M490LV7,Men's 490v7,25.19,3.603999999999999
M490LN7,Men's 490v7,25.19,3.603999999999999
M490LB7,Men's 490v7,25.19,3.603999999999999
M1540NV2,Men's 1540v2,69.29,9.903999999999996
MS574NAP,Men's 574 Sport,35.99,9.603999999999992
MS574NAK,Men's 574 Sport,43.19,2.4039999999999964
MS574NAB,Men's 574 Sport,43.19,2.4039999999999964
MS574FCJ,Men's 574 Sport,29.99,17.404
MS574FBB,Men's 574 Sport,35.99,12.00399999999999
M3064BGR,Men's CUSH+ Slide,8.99,5.403999999999998
BURNXMWT,Men's Mid-Cut Burn X Lacrosse Cleat,29.99,18.003999999999994
BURNXMRD,Men's Mid-Cut Burn X Lacrosse Cleat,29.99,18.003999999999994
BURNXMPB,Men's Mid-Cut Burn X Lacrosse Cleat,29.99,18.003999999999994
BURNXMBK,Men's Mid-Cut Burn X Lacrosse Cleat,29.99,18.003999999999994
BURNXLWT,Men's Low-Cut Burn X Lacrosse Cleat,29.99,18.003999999999994
BURNXLRD,Men's Low-Cut Burn X Lacrosse Cleat,29.99,18.003999999999994
BURNXLBK,Men's Low-Cut Burn X Lacrosse Cleat,29.99,18.003999999999994
L4040TR4,Low-Cut 4040v4 Metal Baseball Cleat,21.0,11.994
MARLXLB1,Men's RALAXA,23.39,7.8039999999999985
MARLXLG1,Men's RALAXA,23.39,7.8039999999999985
MARLXLR1,Men's RALAXA,23.39,7.8039999999999985
ML515RHG,Men's 515,20.99,12.604000000000003
ML515RMG,Men's 515,20.99,12.604000000000003
MDRNRB1,Men's District Run,27.29,3.904
MDRNRP1,Men's District Run,27.29,3.904
M520CN5,Men's 520v5,31.19,0.003999999999997783
MVTRLG1,Men's VENTR,29.39,4.204000000000001
MVTRLR1,Men's VENTR,29.39,4.204000000000001
MTNTRLB3,Men's Nitrel v3,33.59,0.003999999999997783
M990NV4,Men's 990v4 Made in US,59.99,0.003999999999990678
M990GL4,Men's 990v4 Made in US,59.99,0.003999999999990678
MX517BH1,Men's 517v1,21.44,9.753999999999998
M1080BK6,Men's Fresh Foam 1080v6,44.99,27.003999999999998
PL4040B4,Low-Cut 4040v4 TPU Baseball Cleat,16.8,21.593999999999998
MTNTRLC3,Men's Nitrel v3,33.59,0.003999999999997783
MO990BU4,Men's 990v4 Mid Made in US,59.99,0.003999999999990678
M990JP4,Men's 990v4 Made in US,59.99,0.003999999999990678
MTNTRLN3,Men's Nitrel v3,33.59,0.003999999999997783
MCRZSLN2,Men's Fresh Foam Cruz SockFit,24.0,23.993999999999993
